Date,Site,Subsite,Station,Genus,Species,Weight,Recapture,Sex,Tag_Number,Latitude,Logitude,Elevation,*NA_Exracted ,SNV ,Bartonella,Borrelia,Rickettsia,Notes,
4-Jun-14,4,2,3,Peromyscus,maniculatus,18,No,,,,,,,,,,,NO SAMPLE,
4-Jun-14,4,1,1,Peromyscus,maniculatus,20,No,,,,,,,,,,,,
4-Jun-14,4,16,2,Peromyscus,maniculatus,21,No,,,,,,,,,,,NO SAMPLE,
4-Jun-14,4,16,1,Peromyscus,truei,25,No,,,,,,,,,,,RNA ONLY,
5-Jun-14,4,3,1,Tamias,dorsalis,71,No,Female,92655,,,,,,,,,LACTATING,
5-Jun-14,4,3,2,Tamias,dorsalis,55,Yes,Male,92685,,,,,,,,,,
5-Jun-14,4,1,2,Tamias,dorsalis,55,Yes,Male,89684,,,,,,,,,,
5-Jun-14,4,16,1,Tamias,dorsalis,71,Yes,Male,92677,,,,,,,,,,
5-Jun-14,4,1,3,Tamias,dorsalis,60,No,Male,89658,,,,,,,,,,
5-Jun-14,4,10,2,Tamias,dorsalis,65,Yes,Male,89622,,,,,,,,,,
5-Jun-14,4,1,1,Callospermophilus,lateralis,295,Yes,Female,89607,,,,,,,,,,
5-Jun-14,4,4,2,Tamias,dorsalis,50,Yes,Male,89635,,,,,,,,,,
5-Jun-14,4,6,1,Tamias,dorsalis,55,Yes,Male,EAR 96,,,,,,,,,,
5-Jun-14,4,10,1,Tamias,dorsalis,NA,No,Male,92655,,,,,,,,,EXCAPE,
5-Jun-14,4,2,1,Tamias,dorsalis,50,Yes,Male,89630,,,,,,,,,,
5-Jun-14,4,2,2,Tamias,dorsalis,45,Yes,Male,89604,,,,,,,,,,
5-Jun-14,4,2,3,Tamias,dorsalis,69,Yes,Female,92656,,,,,,,,,PREGNANT,
5-Jun-14,4,4,1,Callospermophilus,lateralis,225,No,Male,89632,,,,,,,,,,
5-Jun-14,4,14,1,,VOLE,25,No,Female,EAR 94,,,,,,,,,NO SAMPLE,
5-Jun-14,4,2,4,Peromyscus,maniculatus,20,,,,,,,,,,,,NO SAMPLE,
5-Jun-14,4,9,1,Peromyscus,maniculatus,16,,,,,,,,,,,,RNA ONLY,
5-Jun-14,4,12,1,Peromyscus,maniculatus,,,,,,,,,,,,,EXCAPE TRAP,
10-Jun-14,5,9,7,Neotoma,mexicana,168,No,Female,92895,,,,,,,,,PREGNANT,
10-Jun-14,5,8,1,Callospermophilus,lateralis,219,No,Male,92880,,,,,,,,,,
10-Jun-14,5,6,2,Tamias,dorsalis,60,No,Male,92891,,,,,,,,,,
10-Jun-14,5,9,2,Callospermophilus,lateralis,209,No,Male,92886,,,,,,,,,,
10-Jun-14,5,1,3,Neotoma,mexicana,170,No,Female,92871,,,,,,,,,,
10-Jun-14,5,9,3,Callospermophilus,lateralis,82,No,Male,92838,,,,,,,,,,
10-Jun-14,5,1,1,Neotoma,mexicana,257,No,Male,92821,,,,,,,,,,
10-Jun-14,5,5,1,Callospermophilus,lateralis,242,No,Female,92846,,,,,,,,,,
10-Jun-14,5,2,2,Callospermophilus,lateralis,209,No,Male,92864,,,,,,,,,,
